City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Buritis,-15.6178,-46.4233,68.04,39,45,0.47,BR,1629959097
French Harbor,16.35,-86.4333,82.4,90,20,3.0,HN,1629959097
São João da Barra,-21.6403,-41.0511,70.34,83,0,19.42,BR,1629959098
San Quintín,30.4833,-115.95,72.12,80,0,11.65,MX,1629959098
Sisimiut,66.9395,-53.6735,42.31,92,100,12.46,GL,1629959098
Chengam,12.3,78.8,92.52,43,95,5.39,IN,1629959099
Bridgetown,13.1,-59.6167,79.29,78,40,10.36,BB,1629959099
Talnakh,69.4865,88.3972,47.28,84,100,3.15,RU,1629959099
Saint-Augustin,51.226,-58.6502,56.66,76,75,5.44,CA,1629959100
Panan,15.2134,120.0272,77.04,62,98,4.38,PH,1629959100
Alofi,-19.0595,-169.9187,67.89,64,90,13.8,NU,1629959100
Santa Ana,33.7456,-117.8678,83.77,75,20,1.01,US,1629958922
Xinqing,48.2333,129.5,71.33,80,97,6.4,CN,1629959101
Wilmington,34.2257,-77.9447,78.91,91,1,4.61,US,1629958694
Mataram,-8.5833,116.1167,86.81,57,87,14.38,ID,1629959101
Plettenberg Bay,-34.0527,23.3716,59.77,63,18,2.93,ZA,1629959101
Olafsvik,64.8945,-23.7142,52.54,89,64,12.73,IS,1629959102
Fortuna,40.5982,-124.1573,58.12,94,90,8.05,US,1629959105
Moultonborough,43.7548,-71.3967,71.08,95,91,2.1,US,1629959105
São Miguel do Araguaia,-13.275,-50.1628,76.39,30,19,0.98,BR,1629959106
Nuevo Laredo,27.4763,-99.5164,84.18,74,1,11.5,MX,1629959023
Fernandina Beach,30.6697,-81.4626,82.02,88,1,1.99,US,1629959106
Tvøroyri,61.5556,-6.8111,52.99,97,100,3.22,FO,1629959107
Northam,51.0333,-4.2167,60.39,96,1,3.29,GB,1629959107
Port Augusta,-32.5,137.7667,60.71,46,9,13.69,AU,1629959107
Nishihara,26.1842,127.7558,88.88,68,40,10.36,JP,1629959108
Aleysk,52.4926,82.7822,80.11,31,2,16.15,RU,1629959108
Mildura,-34.2,142.15,57.16,33,40,9.22,AU,1629959108
Alpena,45.0617,-83.4327,73.54,88,40,3.44,US,1629959109
Dickinson,29.4608,-95.0513,84.97,85,1,0.0,US,1629958884
Naze,28.3667,129.4833,85.12,79,49,6.82,JP,1629959109
Mehamn,71.0357,27.8492,51.71,75,76,9.53,NO,1629959109
Launceston,-41.45,147.1667,51.8,70,90,8.01,AU,1629959110
Rudnya,54.947,31.0934,57.33,92,97,4.36,RU,1629959110
Havelock,34.8791,-76.9013,80.94,93,21,5.57,US,1629959110
Krasnyy Klyuch,55.3863,56.6529,70.39,64,75,10.36,RU,1629959111
Ossora,59.2353,163.0719,61.12,70,100,4.45,RU,1629959111
Korla,41.7597,86.1469,85.86,13,70,8.52,CN,1629959111
Níjar,36.9665,-2.206,70.65,68,0,9.22,ES,1629959112
Pedernales,18.0384,-71.744,78.24,73,100,2.98,DO,1629959112
Lorengau,-2.0226,147.2712,82.63,75,100,7.9,PG,1629959112
Bilma,18.6853,12.9164,90.52,36,52,6.29,NE,1629959112
Una,20.8167,71.0333,84.81,69,100,16.04,IN,1629959113
Touros,-5.1989,-35.4608,72.5,83,8,14.32,BR,1629959113
Chunhuhub,19.55,-88.6833,72.75,99,7,1.79,MX,1629959113
Kimbe,-5.5502,150.1429,84.09,71,69,2.82,PG,1629959114
Huarmey,-10.0681,-78.1522,61.59,90,95,9.75,PE,1629959114
Brownfield,33.1812,-102.2744,75.69,53,0,8.12,US,1629959114
Sitka,57.0531,-135.33,58.89,82,75,0.0,US,1629959115
Zhigansk,66.7697,123.3711,64.26,43,43,19.24,RU,1629959115
Hare Bay,48.8499,-54.0148,52.95,90,59,2.19,CA,1629959115
Pontian Kecil,1.4801,103.3899,89.92,67,100,8.05,MY,1629959116
Ferry Pass,30.5102,-87.2125,79.68,95,75,0.0,US,1629959116
Oshawa,43.9001,-78.8496,77.05,89,1,2.3,CA,1629959116
Derzhavīnsk,51.1,66.3167,83.37,27,5,13.15,KZ,1629959117
Jérémie,18.65,-74.1167,77.76,80,100,5.21,HT,1629959117
Valleyview,55.0667,-117.2859,53.64,66,1,11.5,CA,1629959117
Talara,-4.5772,-81.2719,64.62,81,44,17.78,PE,1629959118
Byron Bay,-28.65,153.6167,69.91,56,2,5.44,AU,1629958862
Konstantinovka,49.6167,127.9833,68.41,91,100,2.01,RU,1629959118
Okha,53.5739,142.9478,64.2,84,100,9.53,RU,1629959118
Vostok,46.4856,135.8833,71.31,71,45,4.07,RU,1629959119
Villarrobledo,39.2699,-2.6012,67.78,69,98,3.09,ES,1629959119
Farafangana,-22.8167,47.8333,70.92,79,55,5.1,MG,1629959119
Teknāf,20.8624,92.3058,84.74,77,96,8.95,BD,1629959120
Belluno,46.145,12.2214,63.41,87,2,1.01,IT,1629959120
Homer,59.6425,-151.5483,54.09,91,1,0.0,US,1629959120
Ormara,25.2088,64.6357,81.28,81,88,16.73,PK,1629959121
Hualmay,-11.0964,-77.6139,60.94,88,91,13.15,PE,1629959121
Rumoi,43.9344,141.6428,70.25,94,99,12.82,JP,1629959121
Queimadas,-10.9783,-39.6264,66.97,92,31,5.01,BR,1629959122
Klamath Falls,42.2249,-121.7817,57.11,51,40,5.75,US,1629959122
Los Llanos de Aridane,28.6585,-17.9182,69.55,71,0,8.05,ES,1629959122
La Paz,-16.5,-68.15,39.18,41,20,2.3,BO,1629959123
Mozhga,56.4447,52.2276,62.65,43,88,8.32,RU,1629959123
Strelka,58.0728,93.0344,73.98,69,91,2.57,RU,1629959123
Bazarnyy Syzgan,53.7512,46.7535,65.82,39,97,7.54,RU,1629958877
Xam Nua,20.4197,104.0439,84.51,54,82,4.27,LA,1629959124
King City,36.2127,-121.126,73.22,49,0,5.53,US,1629958978
La Sarre,48.8002,-79.1996,65.62,81,30,8.14,CA,1629959124
Huntington,38.4193,-82.4452,73.65,94,90,0.0,US,1629959089
Fernie,49.5,-115.0687,54.57,61,63,3.58,CA,1629959125
Carnot,4.9409,15.8665,70.57,96,89,1.39,CF,1629959125
Poum,-20.2333,164.0167,74.91,76,32,15.28,NC,1629959125
Mahanoro,-19.9,48.8,72.66,70,57,1.81,MG,1629959126
Manggar,-2.8833,108.2667,84.2,66,23,13.27,ID,1629959126
Bukama,-9.2,25.85,83.08,27,35,1.68,CD,1629959126
Surgut,61.25,73.4167,82.58,54,0,8.95,RU,1629958981
Lufilufi,-13.8745,-171.5986,76.78,83,45,22.91,WS,1629959127
Nandurbar,21.3667,74.25,84.29,65,98,15.48,IN,1629959127
Nelson Bay,-32.7167,152.15,61.75,66,83,1.01,AU,1629959127
Pāvilosta,56.8879,21.1859,55.35,93,99,11.25,LV,1629959128
Sept-Îles,50.2001,-66.3821,63.12,84,75,4.61,CA,1629959085
Tynda,55.1667,124.7167,62.24,71,100,7.78,RU,1629959128
Mayo,38.8876,-76.5119,78.4,92,54,5.23,US,1629959128
Salinópolis,-0.6136,-47.3561,78.12,85,55,7.09,BR,1629959129
Horsham,51.064,-0.3272,62.47,73,75,10.36,GB,1629959129
Campoverde,-8.4753,-74.8058,82.72,48,97,2.17,PE,1629959129
Jalpan,21.2333,-99.4833,67.59,93,17,0.47,MX,1629959130
Iguaí,-14.7564,-40.0892,67.5,84,66,3.18,BR,1629959130
Cidreira,-30.1811,-50.2056,59.58,96,100,11.86,BR,1629959130
Pangnirtung,66.1451,-65.7125,37.56,94,100,7.85,CA,1629959130
Lyudinovo,53.8664,34.4478,61.16,89,63,3.24,RU,1629959131
Wiwilí,13.6268,-85.8254,69.48,90,99,2.33,NI,1629959131
Taloda,21.5667,74.2167,85.24,65,97,13.65,IN,1629959131
Tutóia,-2.7619,-42.2744,79.63,82,83,13.29,BR,1629959132
Mae Chan,20.1467,99.8526,89.26,68,92,3.31,TH,1629959132
Coahuayana Viejo,18.7333,-103.6833,79.25,91,91,3.65,MX,1629959132
Voyvozh,62.892,54.9635,48.04,97,99,7.85,RU,1629959133
Konosha,60.9736,40.257,53.85,66,100,6.17,RU,1629959133
Yabrūd,33.9674,36.6574,74.52,17,0,2.46,SY,1629959133
Gizo Government Station,-8.103,156.8419,82.8,74,85,8.86,SB,1629959134
Tashir,41.1207,44.2846,77.14,67,9,4.38,AM,1629959134
Goundam,16.4145,-3.6708,85.46,57,91,8.84,ML,1629959134
Vilhena,-12.7406,-60.1458,76.28,42,85,1.28,BR,1629959135
Luanda,-8.8368,13.2343,69.8,94,75,3.44,AO,1629958902
Kavaratti,10.5669,72.642,81.93,78,87,19.48,IN,1629959135
Safi,32.2994,-9.2372,67.32,89,1,7.92,MA,1629959135
Atambua,-9.1061,124.8925,80.78,58,80,4.16,ID,1629959136
Mtsamboro,-12.6998,45.0689,79.92,66,0,9.15,YT,1629959136
Santa Cruz de la Sierra,-17.8,-63.1667,58.46,72,90,24.16,BO,1629959022
Burgeo,47.6167,-57.6152,61.05,87,47,11.14,CA,1629959136
Lubbock,33.6001,-101.8338,76.14,67,1,3.0,US,1629959040
Celestún,20.8667,-90.4,78.42,85,7,10.69,MX,1629959137
Rodolfo Sánchez Taboada,31.7167,-116.5667,69.1,88,33,1.01,MX,1629959137
Ginir,7.1333,40.7,65.39,44,10,11.74,ET,1629959138
Isil'kul',54.9109,71.2728,84.67,29,64,10.98,RU,1629959138
Katsuura,35.1333,140.3,93.31,73,100,6.51,JP,1629959138
Ueda,36.4,138.2667,91.45,52,76,5.14,JP,1629959139
Massaguet,12.4755,15.4365,73.44,79,86,3.2,TD,1629959139
Tuatapere,-46.1333,167.6833,45.82,95,100,1.95,NZ,1629959139
Paracuru,-3.41,-39.0306,78.82,77,41,17.69,BR,1629959140
Usvyaty,55.7456,30.7533,58.55,85,100,4.27,RU,1629959140
Siero,43.3833,-5.6667,63.61,95,92,2.37,ES,1629959140
Flinders,-34.5833,150.8552,62.19,61,87,4.0,AU,1629959141
Luangwa,-15.6167,30.4167,74.89,37,0,4.23,ZM,1629959141
San Isidro,-12.1167,-77.05,59.25,92,90,1.01,PE,1629959141
Long Beach,33.767,-118.1892,82.17,75,1,3.44,US,1629958985
Vila,42.0304,-8.1588,55.33,78,93,3.36,PT,1629959142
Santa Fe,-31.6333,-60.7,53.01,51,2,1.99,AR,1629959135
Broome,42.2506,-75.833,74.57,86,69,2.57,US,1629959142
Kushiro,42.975,144.3747,70.75,88,40,12.66,JP,1629959142
Ahipara,-35.1667,173.1667,57.27,71,97,11.77,NZ,1629959143
Semme,46.1963,1.5007,61.21,95,42,4.32,FR,1629959143
Cruzeiro do Sul,-29.5128,-51.9853,59.52,97,100,3.85,BR,1629959143
Tomatlán,19.9333,-105.25,78.55,96,100,2.13,MX,1629959144
Pierre,44.3683,-100.351,65.86,65,90,4.0,US,1629958610
Shipunovo,52.1582,82.2173,78.85,34,0,15.39,RU,1629959144
Amantea,39.1332,16.0746,76.95,73,41,5.06,IT,1629959144
Francisco Beltrão,-26.0811,-53.055,58.68,96,99,5.88,BR,1629958988
Yeppoon,-23.1333,150.7333,76.78,49,12,9.48,AU,1629959145
Farah,32.5,62.5,86.56,11,0,9.33,AF,1629959145
Hanzhong,33.0728,107.0303,71.49,80,100,5.01,CN,1629959145
Rawson,-43.3002,-65.1023,43.88,51,93,21.99,AR,1629958890
Bitung,1.4451,125.1824,77.85,78,84,4.68,ID,1629959146
Abalak,58.1286,68.5944,83.64,37,23,8.59,RU,1629959146
Weligama,5.9667,80.4167,83.19,74,76,13.04,LK,1629959146
Kaohsiung City,22.6163,120.3133,89.69,70,75,10.0,TW,1629958857
Cherskiy,68.75,161.3,47.52,67,99,8.19,RU,1629959147
Tondano,1.3038,124.9112,69.89,87,85,1.21,ID,1629959147
Puerto Nariño,-3.7703,-70.3831,76.95,66,79,2.82,CO,1629959148
Pacific Grove,36.6177,-121.9166,60.91,90,90,3.0,US,1629959148
Camacha,33.0833,-16.3333,67.42,94,20,2.3,PT,1629959148
North Bend,43.4065,-124.2243,60.17,82,40,3.44,US,1629959149
Boddam,57.4667,-1.7833,53.1,80,93,18.32,GB,1629959149
Nakhon Phanom,17.3333,104.4167,89.28,65,46,7.07,TH,1629959149
Chipinge,-20.1883,32.6236,70.09,37,0,2.75,ZW,1629959149
Richards Bay,-28.783,32.0377,67.46,70,49,14.65,ZA,1629959150
Pho Chai,16.3283,103.7703,85.73,63,82,7.09,TH,1629959150
Clarence Town,-32.5833,151.7833,65.07,53,95,3.87,AU,1629959151
Nānākuli,21.3906,-158.1547,80.55,65,1,6.91,US,1629959151
Sun City West,33.662,-112.3413,98.2,29,1,3.44,US,1629959151
Kattivākkam,13.2167,80.3167,95.09,56,73,11.56,IN,1629959152
Maracaçumé,-2.0428,-45.9592,72.09,99,77,2.59,BR,1629959152
‘Ewa Beach,21.3156,-158.0072,80.55,65,1,6.91,US,1629958894
Rosetta,31.4044,30.4164,82.47,63,0,9.75,EG,1629959152
Mporokoso,-9.3727,30.125,68.99,44,2,11.05,ZM,1629959153
Tezu,27.9167,96.1667,77.58,99,100,1.41,IN,1629959153
Kotido,2.9806,34.1331,75.09,41,31,8.9,UG,1629959153
Bella Union,-30.2752,-57.6007,49.26,88,86,7.56,UY,1629959154
Beringovskiy,63.05,179.3167,50.27,80,100,15.97,RU,1629959154
